policy_id,policy_name,condition_id,condition_name,condition_query,condition_enabled
83113,Team: Alerts - AlertsDB (Prod),394827,Active memeory,SELECT max((Active/MemTotal)*100) FROM ServerMemInfo WHERE Hostname = 'chi-prod-alertsdb-2a.nr-ops.net',True
90780,Lateef Jackson's policy,418748,Test Error,SELECT count(*) FROM ElixirAgent WHERE category = 'Error' and app_name = 'NerdGraph' and env = 'staging',False
105238,IPFix Egress Monitoring Alert,472028,No IPFix Traffic,SELECT sum(octetDeltaCount) from IpfixEgress,False
105970,Jeff Cowan's policy,10152509,CanTire,from Transaction select count(*) WHERE appName = 'Notification Service - Production'  AND notification_plugin_type = 'WEBHOOK' WHERE plugin_response LIKE '%NoHttpResponseException%' where customerAccountId = 1650834,True
109963,Hajin's Policy,506212,NRQL type condition test,SELECT count(*) FROM KafkaLagSample WHERE consumerGroup = 'auc-group-PRODUCTION',False
109963,Hajin's Policy,506211,NRQL query (baseline),SELECT count(*) from PageAction where actionName = 'ALRT_Incident_viewListingOpen' and email NOT LIKE '%newrelic%',False
123440,Ryan Broughan's policy,20715547,Regex literal test,SELECT count(*) FROM Metric WHERE appName RLIKE r'.*',True
123440,Ryan Broughan's policy,10016967,a test bogus condition,SELECT 10000 * sum(`response.code.404` or 0)/sum(`response.code.200` or 1) FROM VortexMonitoring WHERE type != 'status_check' and environment = 'eu-production',False
123440,Ryan Broughan's policy,1712466,asdf nrql3,"SELECT apdex(duration, t: 0.5) FROM Transaction WHERE appName = 'Domain New Homes - production' AND name = 'WebTransaction/Expressjs/GET//:microsite(new-homes|rural)/:location?/:propertyType?/:bedrooms?/'",False
123440,Ryan Broughan's policy,1091001,Lots of accounts 2,SELECT count(*) from Ajax,False
123440,Ryan Broughan's policy,710873,asdf,SELECT count(*) From AlertingEventsLegacy,False
132132,Infrastructure: Production Warnings,7796434,enti..t-updater >50000msg lag on topic heartbeats,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='entity-heartbeat-updater' and topic='infra_heartbeats',True
132132,Infrastructure: Production Warnings,7796433,seco..y-updater >3000msg lag on topic inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='secondary-identity-updater' and topic='infra_inventory_changes',True
132132,Infrastructure: Production Warnings,7796432,inve..y-indexer >3000msg lag on topic inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='inventory-indexer' and topic='infra_inventory_changes',True
132132,Infrastructure: Production Warnings,7796431,delt..generator >3000msg lag on topic inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='delta-event-generator' and topic='infra_inventory_changes',True
132132,Infrastructure: Production Warnings,7796430,context-indexer >3000msg lag on topic inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='context-indexer' and topic='infra_inventory_changes',True
132132,Infrastructure: Production Warnings,7796426,cont..d-updater >3000msg lag on topic container_samples,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='container-id-updater' and topic='infra_container_samples',True
132132,Infrastructure: Production Warnings,1143567,metr..essor-raw >50000msg lag on topic metrics_raw,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='metrics-processor-raw' and topic='infra_metrics_raw',True
132132,Infrastructure: Production Warnings,1143566,inve..essor-raw >50000msg lag on topic raw_entity_state,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='inventory-processor-raw' and topic='infra_raw_entity_state',True
132132,Infrastructure: Production Warnings,621601,metr..processor >50000msg lag on topic metrics_aggregates_3_hour,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_3_hour',True
132132,Infrastructure: Production Warnings,621599,metr..processor >50000msg lag on topic metrics_aggregates_1_hour,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_1_hour',True
132132,Infrastructure: Production Warnings,621598,metr..processor >50000msg lag on topic metr..ggregates_10_minute,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_10_minute',True
132132,Infrastructure: Production Warnings,621597,metr..processor >50000msg lag on topic metr..aggregates_1_minute,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_1_minute',True
132132,Infrastructure: Production Warnings,621596,metr..processor >50000msg lag on topic metrics,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='metrics-processor' and topic='infra_metrics',True
132132,Infrastructure: Production Warnings,592064,context-watcher >50000msg lag on topic heartbeats,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='context-watcher' and topic='infra_heartbeats',True
132132,Infrastructure: Production Warnings,592063,context-watcher >3000msg lag on topic dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='context-watcher' and topic='infra_dead_contexts',True
132132,Infrastructure: Production Warnings,592062,context-indexer >3000msg lag on topic deltas,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='context-indexer' and topic='infra_deltas',True
132132,Infrastructure: Production Warnings,592061,context-indexer >3000msg lag on topic dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='context-indexer' and topic='infra_dead_contexts',True
132132,Infrastructure: Production Warnings,592060,context-indexer >3000msg lag on topic agent_status_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='context-indexer' and topic='infra_agent_status_changes',True
132132,Infrastructure: Production Warnings,586361,usage-consumer >50000msg lag on topic heartbeats,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='usage-consumer' and topic='infra_heartbeats',True
132132,Infrastructure: Production Warnings,585171,seco..y-updater >3000msg lag on topic deltas,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='secondary-identity-updater' and topic='infra_deltas',True
132132,Infrastructure: Production Warnings,585170,seco..y-updater >3000msg lag on topic dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='secondary-identity-updater' and topic='infra_dead_contexts',True
132132,Infrastructure: Production Warnings,585169,seco..y-updater >3000msg lag on topic container_samples,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='secondary-identity-updater' and topic='infra_container_samples',True
132132,Infrastructure: Production Warnings,585163,inve..y-indexer >3000msg lag on topic retire_inventory,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='inventory-indexer' and topic='infra_retire_inventory',True
132132,Infrastructure: Production Warnings,585162,inve..y-indexer >3000msg lag on topic deltas,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='inventory-indexer' and topic='infra_deltas',True
132132,Infrastructure: Production Warnings,585161,grav..er-worker >3000msg lag on topic dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='gravedigger-worker' and topic='infra_dead_contexts',True
132132,Infrastructure: Production Warnings,585160,depl..-consumer >50000msg lag on topic deploy_trials,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='deploy-trial-consumer' and topic='infra_deploy_trials',True
132132,Infrastructure: Production Warnings,585159,delt..generator >3000msg lag on topic deltas,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='delta-event-generator' and topic='infra_deltas',True
132132,Infrastructure: Production Warnings,585158,apm-gravedigger >3000msg lag on topic dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='apm-gravedigger' and topic='infra_dead_contexts',True
132132,Infrastructure: Production Warnings,585157,apm-..-listener >50000msg lag on topic agen..le_events_for_infra,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='apm-lifecycle-listener' and topic='agent_lifecycle_events_for_infra',True
132132,Infrastructure: Production Warnings,585156,aler..n-indexer >3000msg lag on topic alert_service_events,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='alert-violation-indexer' and topic='alert_service_events',True
132132,Infrastructure: Production Warnings,585155,alert-evaluator >3000msg lag on topic daqs_results,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='mtbls-alert-evaluator' and topic='daqs_results',True
132132,Infrastructure: Production Warnings,585154,alert-evaluator >3000msg lag on topic alert_service_events,SELECT max(offsetsLag) from ConsumerLag where cluster='production' and group='mtbls-alert-evaluator' and topic='alert_service_events',True
132133,Infrastructure: Production Critical,7796475,enti..t-updater >200000msg lag on heartbeats,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='entity-heartbeat-updater' and topic='infra_heartbeats',True
132133,Infrastructure: Production Critical,7796470,seco..y-updater >8000msg lag on inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='secondary-identity-updater' and topic='infra_inventory_changes',True
132133,Infrastructure: Production Critical,7796456,inve..y-indexer >8000msg lag on inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='inventory-indexer' and topic='infra_inventory_changes',True
132133,Infrastructure: Production Critical,7796455,delt..generator >8000msg lag on inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='delta-event-generator' and topic='infra_inventory_changes',True
132133,Infrastructure: Production Critical,7796450,context-indexer >8000msg lag on inventory_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='context-indexer' and topic='infra_inventory_changes',True
132133,Infrastructure: Production Critical,7796435,cont..d-updater >8000msg lag on container_samples,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='container-id-updater' and topic='infra_container_samples',True
132133,Infrastructure: Production Critical,1143569,metr..essor-raw >200000msg lag on metrics_raw,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='metrics-processor-raw' and topic='infra_metrics_raw',True
132133,Infrastructure: Production Critical,1143568,inve..essor-raw >200000msg lag on raw_entity_state,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='inventory-processor-raw' and topic='infra_raw_entity_state',True
132133,Infrastructure: Production Critical,621611,metr..processor >200000msg lag on metrics_aggregates_3_hour,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_3_hour',True
132133,Infrastructure: Production Critical,621610,metr..processor >200000msg lag on metrics_aggregates_1_hour,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_1_hour',True
132133,Infrastructure: Production Critical,621609,metr..processor >200000msg lag on metr..ggregates_10_minute,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_10_minute',True
132133,Infrastructure: Production Critical,621608,metr..processor >200000msg lag on metr..aggregates_1_minute,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='metrics-aggregates-processor' and topic='infra_metrics_aggregates_1_minute',True
132133,Infrastructure: Production Critical,621607,metr..processor >200000msg lag on metrics,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='metrics-processor' and topic='infra_metrics',True
132133,Infrastructure: Production Critical,592069,context-watcher >200000msg lag on heartbeats,SELECT max(offsetsLag) from ConsumerLag where group='context-watcher' and cluster='prod' and topic='infra_heartbeats',True
132133,Infrastructure: Production Critical,592068,context-watcher >8000msg lag on dead_contexts,SELECT max(offsetsLag) from ConsumerLag where group='context-watcher' and cluster='prod' and topic='infra_dead_contexts',True
132133,Infrastructure: Production Critical,592067,context-indexer >8000msg lag on deltas,SELECT max(offsetsLag) from ConsumerLag where group='context-indexer' and cluster='prod' and topic='infra_deltas',True
132133,Infrastructure: Production Critical,592066,context-indexer >8000msg lag on dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='context-indexer' and topic='infra_dead_contexts',True
132133,Infrastructure: Production Critical,592065,context-indexer >8000msg lag on agent_status_changes,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='context-indexer' and topic='infra_agent_status_changes',True
132133,Infrastructure: Production Critical,586362,usage-consumer >200000msg lag on heartbeats,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='usage-consumer' and topic='infra_heartbeats',True
132133,Infrastructure: Production Critical,585190,seco..y-updater >8000msg lag on deltas,SELECT max(offsetsLag) from ConsumerLag where group='secondary-identity-updater' and cluster='prod' and topic='infra_deltas',True
132133,Infrastructure: Production Critical,585189,seco..y-updater >8000msg lag on dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='secondary-identity-updater' and topic='infra_dead_contexts',True
132133,Infrastructure: Production Critical,585182,inve..y-indexer >8000msg lag on retire_inventory,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='inventory-indexer' and topic='infra_retire_inventory',True
132133,Infrastructure: Production Critical,585181,inve..y-indexer >8000msg lag on deltas,SELECT max(offsetsLag) from ConsumerLag where group='inventory-indexer' and cluster='prod' and topic='infra_deltas',True
132133,Infrastructure: Production Critical,585180,grav..er-worker >8000msg lag on dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='gravedigger-worker' and topic='infra_dead_contexts',True
132133,Infrastructure: Production Critical,585179,depl..-consumer >200000msg lag on deploy_trials,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='deploy-trial-consumer' and topic='infra_deploy_trials',True
132133,Infrastructure: Production Critical,585178,delt..generator >8000msg lag on deltas,SELECT max(offsetsLag) from ConsumerLag where group='delta-event-generator' and cluster='prod' and topic='infra_deltas',True
132133,Infrastructure: Production Critical,585177,apm-gravedigger >8000msg lag on dead_contexts,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='apm-gravedigger' and topic='infra_dead_contexts',True
132133,Infrastructure: Production Critical,585176,apm-..-listener >200000msg lag on agen..le_events_for_infra,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='apm-lifecycle-listener' and topic='agent_lifecycle_events_for_infra',True
132133,Infrastructure: Production Critical,585175,aler..n-indexer >8000msg lag on alert_service_events,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='alert-violation-indexer' and topic='alert_service_events',True
132133,Infrastructure: Production Critical,585174,alert-evaluator >8000msg lag on daqs_results,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='mtbls-alert-evaluator' and topic='daqs_results',True
132133,Infrastructure: Production Critical,585173,alert-evaluator >8000msg lag on alert_service_events,SELECT max(offsetsLag) from ConsumerLag where cluster='prod' and group='mtbls-alert-evaluator' and topic='alert_service_events',True
134076,Rafael Ferreira's policy,586181,Number of Minions (baseline),"SELECT uniqueCount(minion) from Synthetics where privateLocation is false and minionProvider in ('LINODE', 'AMAZON_EC2')",True
